WKT,name,description
"POINT (-87.22928 30.5030261)",I10-mmk12.7EB-Hub1,
"POINT (-86.7519293 30.6989791)",I10-mm45-Hub2-Tower,
"POINT (-86.5679819 30.7260259)",I10-mm56-Hub3,
"POINT (-86.3516183 30.7331375)",I10-mm70-Hub4,
"POINT (-85.8131955 30.7578055)",I-10-mm109-Hub5,
"POINT (-85.3815466 30.752655)",I10-mm129-Hub6,
"POINT (-84.9801749 30.639099)",I10-mm155-Hub5,
"POINT (-84.889498 30.6273651)",I10-mm161-Hub8,
"POINT (-84.3638058 30.4793853)",I10-mm192-Hub9,
"POINT (-84.1585831 30.4847825)",I10-mm207-Hub10,
