Location ID,Custom Label,Location Name,Latitude/Longitude,Owned by Current Organization,Owned By,Shared With,Devices,Other Devices,Licenses,Alert Status,Alerts,Created In
"ae72abae-2211-4e4f-80f7-6113d69528ee",,"10th  Street and 8th Ave","{""lng"":-85.1622802,""lat"":30.9576124}",true,"Ingram Signalization Inc.","","SMARTLINK;THIRD_PARTY_CAMERA",0,"DETECTION;INTERSECTION_MONITORING","CRITICAL","PERIPHERAL_UNAVAILABLE","TrafficLink"
"9bdbd95e-1f06-4abf-8dae-0b7bfc830edb",,"Berryhill Road and Berryhill Elementary School","{""lng"":-87.115944,""lat"":30.646894}",true,"Ingram Signalization Inc.","","SMARTVIEW_360",1,"DETECTION;INTERSECTION_MONITORING","CRITICAL","POWER_OFF;TELEMETRY_UNAVAILABLE","TrafficLink"
"cd4b96a3-9039-478a-bb80-3b08737c8be3",,"Brickyard Road and HWY 90","{""lng"":-84.4228421,""lat"":30.48558115}",true,"Ingram Signalization Inc.","","SMARTVIEW_360",0,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"c7ff1174-067b-4a6e-a213-526ae42f20eb",,"Bridlegate Drive and Crawfordville Highway","{""lng"":-84.36716058,""lat"":30.20461271}",true,"Ingram Signalization Inc.","","CORE;CORE_DCM;SMARTVIEW_360",2,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"cf8c0460-4c59-4a40-96fe-e635509f461a",,"Buck Lake Road and Mahan Drive","{""lng"":-84.21489878,""lat"":30.46480642}",true,"Ingram Signalization Inc.","","SMARTLINK;SMARTSENSE;SMARTVIEW_360",1,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"a9b3ba00-db82-4ca0-b08d-01b68e61ed02",,"Caledonia Street and SR 90","{""lng"":-85.22909,""lat"":30.774725}",true,"Ingram Signalization Inc.","","SMARTLINK",1,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"b3afcd7b-49b7-4f0f-a102-2f494eb62170",,"Capital Circle Southwest and Springhill Road","{""lng"":-84.32181307,""lat"":30.39380971}",true,"Ingram Signalization Inc.","","CORE;CORE_DCM;SMARTVIEW_360",1,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"463934ff-cb98-4b29-b535-64f28906ce1d",,"Caverns Road and Russell Road","{""lng"":-85.179016,""lat"":30.812372}",true,"Ingram Signalization Inc.","","SMARTLINK",1,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"5a106d75-ada6-41fb-922e-adfbf0744f62",,"Commerce Boulevard and HWY 90","{""lng"":-84.42867876,""lat"":30.49370324}",true,"Ingram Signalization Inc.","","",0,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"24738bf3-9350-4dd7-bff0-a546a009d91d",,"Cotton Street and 8th Avenue","{""lng"":-85.51664278,""lat"":30.95722892}",true,"Ingram Signalization Inc.","","SMARTLINK",1,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
